subject,visibility,Visibility,run,belowth_vs_invisible,threshold_vs_invisible,visible_vs_invisble,pGOr,pGOp,dprime_conditioning,stim_r,stim_p,d_post_r,d_post_p,alpha_pre_r,alpha_pre_p,alpha_post_r,alpha_post_p,dprime_post_av,subjective_awareness,seen_unseen
1,4,above_th,1,0,0,0,0.990,0.010,4.653,kiwi,cap,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
1,3,at_th,2,1,0,0,0.938,0.125,2.684,briefcase,shoe,2.432,2.795,1.467,1.715,0.665,1.595,2.030,9,
1,2,below_th,3,0,1,0,0.472,0.611,-0.352,chicken,bucket,-1.176,0.000,2.055,1.118,2.007,1.582,0.532,2,
1,1,well_below_th,4,0,0,1,0.500,0.528,-0.070,fish,pear,0.289,0.131,1.840,1.483,1.605,1.590,0.497,0,
2,4,above_th,1,0,0,0,0.990,0.010,4.653,briefcase,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
2,3,at_th,2,1,0,0,0.875,0.625,0.832,chicken,cap,2.795,2.319,2.228,1.804,2.135,1.526,2.645,3,
2,2,below_th,3,0,1,0,0.611,0.472,0.352,bucket,shoe,0.963,1.282,1.537,1.971,1.620,2.034,1.413,2,
2,1,well_below_th,4,0,0,1,0.194,0.389,-0.579,kiwi,fish,0.495,0.963,2.115,1.969,1.980,1.780,0.300,0,
3,4,above_th,1,0,0,0,0.990,0.250,3.001,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.264,10,
3,3,at_th,2,1,0,0,0.938,0.562,1.377,briefcase,fish,2.319,4.286,1.651,1.993,1.489,1.253,2.720,4,
3,2,below_th,3,0,1,0,0.278,0.361,-0.234,chicken,bucket,1.121,0.131,2.168,1.205,2.031,1.562,1.361,0,
3,1,well_below_th,4,0,0,1,0.306,0.306,0.000,shoe,cap,-0.887,0.131,1.577,1.441,2.039,1.490,0.358,0,
4,4,above_th,1,0,0,0,0.990,0.010,4.653,pear,cap,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
4,3,at_th,2,1,0,0,0.750,0.750,0.000,bucket,chicken,0.495,1.645,1.075,2.121,2.431,1.847,1.769,0,
4,2,below_th,3,0,1,0,0.583,0.667,-0.220,fish,kiwi,1.160,0.000,1.963,1.920,1.888,2.101,0.911,0,
4,1,well_below_th,4,0,0,1,0.778,0.750,0.090,briefcase,shoe,0.081,0.167,1.667,1.795,1.151,1.851,0.239,0,
5,4,above_th,1,0,0,0,0.875,0.010,3.477,chicken,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
5,3,at_th,2,1,0,0,0.990,0.010,4.653,shoe,bucket,2.795,1.121,2.110,1.656,1.971,1.913,2.821,5,
5,2,below_th,3,0,1,0,0.972,0.028,3.829,briefcase,cap,1.282,2.114,1.783,2.120,1.414,1.852,1.334,5,
5,1,well_below_th,4,0,0,1,0.222,0.167,0.203,fish,kiwi,0.607,1.956,1.767,2.345,1.852,1.765,0.778,0,
6,4,above_th,1,0,0,0,0.990,0.010,4.653,briefcase,bucket,NaN,NaN,NaN,NaN,NaN,NaN,4.653,NaN,
6,3,at_th,2,1,0,0,0.812,0.250,1.562,pear,shoe,1.960,2.590,1.808,1.975,1.749,2.050,2.117,NaN,
6,2,below_th,3,0,1,0,0.750,0.667,0.244,kiwi,fish,0.524,1.956,1.838,2.039,1.813,1.877,1.042,NaN,
6,1,well_below_th,4,0,0,1,0.667,0.639,0.075,cap,chicken,0.289,0.963,1.731,2.096,1.778,2.014,0.545,NaN,
7,4,above_th,1,0,0,0,0.875,0.010,3.477,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
7,3,at_th,2,1,0,0,0.875,0.562,0.993,briefcase,fish,3.110,2.326,2.070,2.068,1.885,1.718,3.542,5,
7,2,below_th,3,0,1,0,0.778,0.083,2.148,bucket,chicken,1.960,1.825,1.838,2.335,1.751,2.070,1.687,8,
7,1,well_below_th,4,0,0,1,0.806,0.500,0.862,shoe,cap,0.523,0.000,2.229,2.008,2.050,1.879,0.955,4,
8,4,above_th,1,0,0,0,0.990,0.125,3.477,briefcase,cap,NaN,NaN,NaN,NaN,NaN,NaN,4.139,NaN,
8,3,at_th,2,1,0,0,0.688,0.688,0.000,fish,bucket,1.652,2.008,2.071,1.490,2.225,2.111,2.114,NaN,
8,2,below_th,3,0,1,0,0.556,0.611,-0.143,shoe,pear,0.765,0.131,1.899,1.886,1.953,2.052,1.254,NaN,
8,1,well_below_th,4,0,0,1,0.833,0.167,1.935,chicken,kiwi,0.718,2.780,2.270,2.282,2.212,2.114,0.329,NaN,
9,4,above_th,1,0,0,0,0.990,0.010,4.653,pear,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
9,3,at_th,2,1,0,0,0.938,0.010,3.860,bucket,fish,2.319,4.286,1.687,2.341,1.621,1.839,2.972,8,
9,2,below_th,3,0,1,0,0.694,0.222,1.273,chicken,shoe,1.906,1.036,2.270,2.220,2.106,1.824,1.719,6,
9,1,well_below_th,4,0,0,1,0.361,0.500,-0.355,briefcase,cap,0.842,0.131,2.018,1.500,1.855,1.998,0.911,3,
10,4,above_th,1,0,0,0,0.990,0.125,3.477,fish,bucket,NaN,NaN,NaN,NaN,NaN,NaN,4.139,10,
10,3,at_th,2,1,0,0,0.750,0.250,1.349,cap,shoe,1.652,2.114,1.004,1.743,1.921,1.724,3.246,1,
10,2,below_th,3,0,1,0,0.833,0.194,1.829,chicken,kiwi,1.150,2.114,2.170,2.053,2.147,1.672,1.277,4,
10,1,well_below_th,4,0,0,1,0.250,0.389,-0.392,briefcase,pear,0.963,1.992,1.761,1.972,1.577,1.530,1.091,0,
11,4,above_th,1,0,0,0,0.990,0.125,3.477,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
11,3,at_th,2,1,0,0,0.990,0.250,3.001,cap,pear,2.114,3.110,1.951,2.110,1.863,2.201,1.748,6,
11,2,below_th,3,0,1,0,0.417,0.611,-0.493,fish,briefcase,0.718,2.301,2.045,2.096,2.161,2.057,1.113,3,
11,1,well_below_th,4,0,0,1,0.583,0.611,-0.072,bucket,chicken,-0.216,0.131,1.318,2.293,2.198,2.106,0.397,2,
12,4,above_th,1,0,0,0,0.875,0.125,2.301,kiwi,chicken,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
12,3,at_th,2,1,0,0,0.625,0.312,0.807,bucket,fish,1.956,2.634,1.703,2.140,1.667,2.185,2.183,7,
12,2,below_th,3,0,1,0,0.528,0.556,-0.070,shoe,cap,0.289,0.935,2.077,1.982,2.097,2.216,0.732,4,
12,1,well_below_th,4,0,0,1,0.417,0.611,-0.493,pear,briefcase,0.495,0.131,2.065,2.132,2.222,2.044,0.205,0,
13,4,above_th,1,0,0,0,0.875,0.375,1.469,chicken,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,4.139,10,
13,3,at_th,2,1,0,0,0.875,0.125,2.301,bucket,pear,1.600,3.971,1.147,1.930,1.509,1.817,2.310,7,
13,2,below_th,3,0,1,0,0.944,0.472,1.663,fish,briefcase,0.616,2.432,2.213,2.039,2.081,1.939,0.964,8,
13,1,well_below_th,4,0,0,1,0.611,0.611,0.000,cap,shoe,0.279,0.289,1.542,1.787,1.953,1.817,0.328,5,
14,4,above_th,1,0,0,0,0.990,0.010,4.653,cap,chicken,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
14,3,at_th,2,1,0,0,0.312,0.312,0.000,kiwi,briefcase,1.121,1.440,1.974,1.843,2.051,1.839,1.941,7,
14,2,below_th,3,0,1,0,0.778,0.250,1.439,bucket,shoe,0.289,3.082,1.352,2.214,1.420,1.943,0.682,7,
14,1,well_below_th,4,0,0,1,0.417,0.333,0.220,pear,fish,1.121,0.718,1.778,1.947,1.753,1.864,0.325,4,
15,4,above_th,1,0,0,0,0.990,0.010,4.653,chicken,briefcase,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
15,3,at_th,2,1,0,0,0.938,0.688,1.045,fish,kiwi,1.641,0.765,2.074,2.049,2.159,1.639,2.071,5,
15,2,below_th,3,0,1,0,0.306,0.361,-0.153,shoe,bucket,0.523,0.832,1.874,1.349,1.670,2.063,0.676,0,
15,1,well_below_th,4,0,0,1,0.472,0.500,-0.070,pear,cap,0.963,0.832,1.734,1.682,1.545,2.015,0.027,0,
16,4,above_th,1,0,0,0,0.990,0.125,3.477,fish,chicken,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
16,3,at_th,2,1,0,0,0.990,0.125,3.477,briefcase,cap,3.608,4.286,2.029,1.661,1.852,1.888,2.648,6,
16,2,below_th,3,0,1,0,0.667,0.083,1.814,pear,shoe,1.758,0.765,2.056,2.118,1.891,1.826,0.757,7,
16,1,well_below_th,4,0,0,1,0.306,0.361,-0.153,kiwi,bucket,-1.176,1.326,2.047,1.528,2.019,1.987,0.136,0,
17,4,above_th,1,0,0,0,0.990,0.010,4.653,bucket,shoe,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
17,3,at_th,2,1,0,0,0.990,0.188,3.213,briefcase,pear,2.432,2.590,1.884,2.073,1.740,2.353,1.845,7,
17,2,below_th,3,0,1,0,0.861,0.639,0.730,cap,chicken,0.935,1.121,2.046,2.410,2.008,2.475,1.103,6,
17,1,well_below_th,4,0,0,1,0.389,0.222,0.482,kiwi,fish,1.150,0.963,2.229,2.124,2.244,2.222,0.585,3,
18,4,above_th,1,0,0,0,0.990,0.010,4.653,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,3.811,10,
18,3,at_th,2,1,0,0,0.812,0.188,1.774,briefcase,bucket,3.477,3.608,2.265,2.027,1.982,1.954,3.297,9,
18,2,below_th,3,0,1,0,0.889,0.028,3.135,pear,chicken,2.279,2.319,2.104,2.376,2.008,1.075,2.264,3,
18,1,well_below_th,4,0,0,1,0.889,0.111,2.441,cap,fish,0.755,1.036,2.097,2.255,1.956,1.122,1.181,8,
19,4,above_th,1,0,0,0,0.990,0.010,4.653,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,4.396,10,
19,3,at_th,2,1,0,0,0.812,0.312,1.376,briefcase,bucket,2.114,3.110,1.525,1.368,1.469,2.207,1.441,6,
19,2,below_th,3,0,1,0,0.972,0.167,2.882,cap,chicken,1.825,0.598,1.897,2.214,1.386,2.157,0.584,3,
19,1,well_below_th,4,0,0,1,0.417,0.556,-0.350,pear,fish,0.495,-0.887,1.985,2.042,1.915,2.434,-0.285,1,
20,4,above_th,1,0,0,0,0.990,0.010,4.653,chicken,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
20,3,at_th,2,1,0,0,0.990,0.062,3.860,bucket,shoe,2.590,2.795,1.533,2.160,1.319,2.226,2.569,8,
20,2,below_th,3,0,1,0,0.500,0.139,1.085,pear,cap,1.758,0.616,1.857,1.810,1.732,1.893,1.315,3,
20,1,well_below_th,4,0,0,1,0.990,0.194,3.188,fish,briefcase,2.085,0.963,2.386,1.895,1.795,1.719,0.445,7,
21,4,above_th,1,0,0,0,0.990,0.010,4.653,kiwi,briefcase,NaN,NaN,NaN,NaN,NaN,NaN,4.653,10,
21,3,at_th,2,1,0,0,0.990,0.250,3.001,shoe,bucket,2.432,1.036,2.078,1.461,2.001,2.250,1.606,6,
21,2,below_th,3,0,1,0,0.639,0.694,-0.153,pear,chicken,0.000,-0.553,1.923,2.462,1.930,2.267,-0.511,1,
21,1,well_below_th,4,0,0,1,0.583,0.556,0.071,fish,cap,0.607,-0.395,2.060,1.917,2.025,1.973,0.016,0,
22,4,above_th,1,0,0,0,0.990,0.125,3.477,shoe,fish,NaN,NaN,NaN,NaN,NaN,NaN,3.777,9,
22,3,at_th,2,1,0,0,0.990,0.188,3.213,pear,cap,2.008,0.000,2.043,1.608,2.217,2.195,1.994,7,
22,2,below_th,3,0,1,0,0.528,0.556,-0.070,briefcase,bucket,2.590,2.008,1.905,1.927,1.987,1.930,1.613,3,
22,1,well_below_th,4,0,0,1,0.361,0.694,-0.864,kiwi,chicken,1.121,2.389,2.174,-0.898,2.182,2.310,1.204,1,
23,4,above_th,1,0,0,0,0.875,0.010,3.477,fish,pear,NaN,NaN,NaN,NaN,NaN,NaN,4.007,7,
