subject,visibility,Visibility,run,belowth_vs_invisible,threshold_vs_invisible,visible_vs_invisble,pGOr,pGOp,dprime_conditioning,stim_r,stim_p,d_post_r,d_post_p,alpha_pre_r,alpha_pre_p,alpha_post_r,alpha_post_p,dprime_post_av,subjective_awareness,seen_unseen
1,4,above_th,1,0,0,0,0.944,0.056,3.186,kiwi,cap,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
1,3,at_th,2,1,0,0,0.912,0.147,2.401,briefcase,shoe,2.195,2.514,1.467,1.715,0.665,1.595,1.867,9,
1,2,below_th,3,0,1,0,0.473,0.608,-0.342,chicken,bucket,-0.486,0.140,2.055,1.118,2.007,1.582,0.652,2,
1,1,well_below_th,4,0,0,1,0.500,0.527,-0.068,fish,pear,0.402,0.260,1.840,1.483,1.605,1.590,0.613,0,
2,4,above_th,1,0,0,0,0.944,0.056,3.186,briefcase,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
2,3,at_th,2,1,0,0,0.853,0.618,0.750,chicken,cap,2.514,2.136,2.228,1.804,2.135,1.526,2.444,3,
2,2,below_th,3,0,1,0,0.608,0.473,0.342,bucket,shoe,0.946,1.228,1.537,1.971,1.620,2.034,1.334,2,
2,1,well_below_th,4,0,0,1,0.203,0.392,-0.558,kiwi,fish,0.579,0.946,2.115,1.969,1.980,1.780,0.434,0,
3,4,above_th,1,0,0,0,0.944,0.278,2.183,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.559,10,
3,3,at_th,2,1,0,0,0.912,0.559,1.204,briefcase,fish,2.136,3.385,1.651,1.993,1.489,1.253,2.397,4,
3,2,below_th,3,0,1,0,0.284,0.365,-0.226,chicken,bucket,1.088,0.260,2.168,1.205,2.031,1.562,1.227,0,
3,1,well_below_th,4,0,0,1,0.311,0.311,0.000,shoe,cap,-0.223,0.260,1.577,1.441,2.039,1.490,0.488,0,
4,4,above_th,1,0,0,0,0.944,0.056,3.186,pear,cap,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
4,3,at_th,2,1,0,0,0.735,0.735,0.000,bucket,chicken,0.579,1.547,1.075,2.121,2.431,1.847,1.571,0,
4,2,below_th,3,0,1,0,0.581,0.662,-0.214,fish,kiwi,1.098,0.140,1.963,1.920,1.888,2.101,0.904,0,
4,1,well_below_th,4,0,0,1,0.770,0.743,0.086,briefcase,shoe,0.144,0.226,1.667,1.795,1.151,1.851,0.321,0,
5,4,above_th,1,0,0,0,0.833,0.056,2.561,chicken,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
5,3,at_th,2,1,0,0,0.971,0.029,3.779,shoe,bucket,2.514,1.088,2.110,1.656,1.971,1.913,2.405,5,
5,2,below_th,3,0,1,0,0.959,0.041,3.489,briefcase,cap,1.228,1.959,1.783,2.120,1.414,1.852,1.256,5,
5,1,well_below_th,4,0,0,1,0.230,0.176,0.192,fish,kiwi,0.638,1.817,1.767,2.345,1.852,1.765,0.793,0,
6,4,above_th,1,0,0,0,0.944,0.056,3.186,briefcase,bucket,NaN,NaN,NaN,NaN,NaN,NaN,3.844,NaN,
6,3,at_th,2,1,0,0,0.794,0.265,1.450,pear,shoe,1.792,2.337,1.808,1.975,1.749,2.050,1.943,NaN,
6,2,below_th,3,0,1,0,0.743,0.662,0.235,kiwi,fish,0.510,1.817,1.838,2.039,1.813,1.877,1.014,NaN,
6,1,well_below_th,4,0,0,1,0.662,0.635,0.073,cap,chicken,0.402,0.946,1.731,2.096,1.778,2.014,0.581,NaN,
7,4,above_th,1,0,0,0,0.833,0.056,2.561,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
7,3,at_th,2,1,0,0,0.853,0.559,0.901,briefcase,fish,2.759,2.251,2.070,2.068,1.885,1.718,2.994,5,
7,2,below_th,3,0,1,0,0.770,0.095,2.053,bucket,chicken,1.792,1.696,1.838,2.335,1.751,2.070,1.574,8,
7,1,well_below_th,4,0,0,1,0.797,0.500,0.832,shoe,cap,0.534,0.140,2.229,2.008,2.050,1.879,0.873,4,
8,4,above_th,1,0,0,0,0.944,0.167,2.561,briefcase,cap,NaN,NaN,NaN,NaN,NaN,NaN,3.482,NaN,
8,3,at_th,2,1,0,0,0.676,0.676,0.000,fish,bucket,1.661,1.969,2.071,1.490,2.225,2.111,1.899,NaN,
8,2,below_th,3,0,1,0,0.554,0.608,-0.138,shoe,pear,0.780,0.260,1.899,1.886,1.953,2.052,1.128,NaN,
8,1,well_below_th,4,0,0,1,0.824,0.176,1.864,chicken,kiwi,0.718,2.035,2.270,2.282,2.212,2.114,0.460,NaN,
9,4,above_th,1,0,0,0,0.944,0.056,3.186,pear,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
9,3,at_th,2,1,0,0,0.912,0.029,3.241,bucket,fish,2.136,3.385,1.687,2.341,1.621,1.839,2.628,8,
9,2,below_th,3,0,1,0,0.689,0.230,1.233,chicken,shoe,1.701,1.000,2.270,2.220,2.106,1.824,1.610,6,
9,1,well_below_th,4,0,0,1,0.365,0.500,-0.345,briefcase,cap,0.816,0.260,2.018,1.500,1.855,1.998,0.902,3,
10,4,above_th,1,0,0,0,0.944,0.167,2.561,fish,bucket,NaN,NaN,NaN,NaN,NaN,NaN,3.482,10,
10,3,at_th,2,1,0,0,0.735,0.265,1.258,cap,shoe,1.661,1.959,1.004,1.743,1.921,1.724,2.774,1,
10,2,below_th,3,0,1,0,0.824,0.203,1.764,chicken,kiwi,1.107,1.959,2.170,2.053,2.147,1.672,1.213,4,
10,1,well_below_th,4,0,0,1,0.257,0.392,-0.379,briefcase,pear,0.946,1.783,1.761,1.972,1.577,1.530,1.069,0,
11,4,above_th,1,0,0,0,0.944,0.167,2.561,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
11,3,at_th,2,1,0,0,0.971,0.265,2.518,cap,pear,1.959,2.759,1.951,2.110,1.863,2.201,1.630,6,
11,2,below_th,3,0,1,0,0.419,0.608,-0.479,fish,briefcase,0.718,2.074,2.045,2.096,2.161,2.057,1.085,3,
11,1,well_below_th,4,0,0,1,0.581,0.608,-0.070,bucket,chicken,-0.063,0.260,1.318,2.293,2.198,2.106,0.459,2,
12,4,above_th,1,0,0,0,0.833,0.167,1.935,kiwi,chicken,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
12,3,at_th,2,1,0,0,0.618,0.324,0.757,bucket,fish,1.817,2.381,1.703,2.140,1.667,2.185,2.017,7,
12,2,below_th,3,0,1,0,0.527,0.554,-0.068,shoe,cap,0.402,0.904,2.077,1.982,2.097,2.216,0.750,4,
12,1,well_below_th,4,0,0,1,0.419,0.608,-0.479,pear,briefcase,0.579,0.260,2.065,2.132,2.222,2.044,0.356,0,
13,4,above_th,1,0,0,0,0.833,0.389,1.250,chicken,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,3.482,10,
13,3,at_th,2,1,0,0,0.853,0.147,2.098,bucket,pear,1.510,3.140,1.147,1.930,1.509,1.817,1.977,7,
13,2,below_th,3,0,1,0,0.932,0.473,1.562,fish,briefcase,0.622,2.195,2.213,2.039,2.081,1.939,0.951,8,
13,1,well_below_th,4,0,0,1,0.608,0.608,0.000,cap,shoe,0.299,0.402,1.542,1.787,1.953,1.817,0.399,5,
14,4,above_th,1,0,0,0,0.944,0.056,3.186,cap,chicken,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
14,3,at_th,2,1,0,0,0.324,0.324,0.000,kiwi,briefcase,1.088,1.370,1.974,1.843,2.051,1.839,1.735,7,
14,2,below_th,3,0,1,0,0.770,0.257,1.393,bucket,shoe,0.402,2.326,1.352,2.214,1.420,1.943,0.699,7,
14,1,well_below_th,4,0,0,1,0.419,0.338,0.214,pear,fish,1.088,0.718,1.778,1.947,1.753,1.864,0.465,4,
15,4,above_th,1,0,0,0,0.944,0.056,3.186,chicken,briefcase,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
15,3,at_th,2,1,0,0,0.912,0.676,0.894,fish,kiwi,1.510,0.780,2.074,2.049,2.159,1.639,1.851,5,
15,2,below_th,3,0,1,0,0.311,0.365,-0.148,shoe,bucket,0.534,0.825,1.874,1.349,1.670,2.063,0.692,0,
15,1,well_below_th,4,0,0,1,0.473,0.500,-0.068,pear,cap,0.946,0.825,1.734,1.682,1.545,2.015,0.200,0,
16,4,above_th,1,0,0,0,0.944,0.167,2.561,fish,chicken,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
16,3,at_th,2,1,0,0,0.971,0.147,2.939,briefcase,cap,2.821,3.385,2.029,1.661,1.852,1.888,2.255,6,
16,2,below_th,3,0,1,0,0.662,0.095,1.731,pear,shoe,1.652,0.780,2.056,2.118,1.891,1.826,0.762,7,
16,1,well_below_th,4,0,0,1,0.311,0.365,-0.148,kiwi,bucket,-0.486,1.264,2.047,1.528,2.019,1.987,0.365,0,
17,4,above_th,1,0,0,0,0.944,0.056,3.186,bucket,shoe,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
17,3,at_th,2,1,0,0,0.971,0.206,2.710,briefcase,pear,2.195,2.337,1.884,2.073,1.740,2.353,1.708,7,
17,2,below_th,3,0,1,0,0.851,0.635,0.697,cap,chicken,0.904,1.088,2.046,2.410,2.008,2.475,1.079,6,
17,1,well_below_th,4,0,0,1,0.392,0.230,0.465,kiwi,fish,1.107,0.946,2.229,2.124,2.244,2.222,0.619,3,
18,4,above_th,1,0,0,0,0.944,0.056,3.186,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,3.298,10,
18,3,at_th,2,1,0,0,0.794,0.206,1.642,briefcase,bucket,3.218,2.821,2.265,2.027,1.982,1.954,2.936,9,
18,2,below_th,3,0,1,0,0.878,0.041,2.911,pear,chicken,2.074,2.136,2.104,2.376,2.008,1.075,2.079,3,
18,1,well_below_th,4,0,0,1,0.878,0.122,2.334,cap,fish,0.733,1.000,2.097,2.255,1.956,1.122,1.148,8,
19,4,above_th,1,0,0,0,0.944,0.056,3.186,kiwi,shoe,NaN,NaN,NaN,NaN,NaN,NaN,3.663,10,
19,3,at_th,2,1,0,0,0.794,0.324,1.279,briefcase,bucket,1.959,2.759,1.525,1.368,1.469,2.207,1.412,6,
19,2,below_th,3,0,1,0,0.959,0.176,2.676,cap,chicken,1.696,0.581,1.897,2.214,1.386,2.157,0.624,3,
19,1,well_below_th,4,0,0,1,0.419,0.554,-0.341,pear,fish,0.579,-0.223,1.985,2.042,1.915,2.434,0.065,1,
20,4,above_th,1,0,0,0,0.944,0.056,3.186,chicken,kiwi,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
20,3,at_th,2,1,0,0,0.971,0.088,3.241,bucket,shoe,2.337,2.514,1.533,2.160,1.319,2.226,2.342,8,
20,2,below_th,3,0,1,0,0.500,0.149,1.042,pear,cap,1.652,0.622,1.857,1.810,1.732,1.893,1.254,3,
20,1,well_below_th,4,0,0,1,0.986,0.203,3.043,fish,briefcase,1.872,0.946,2.386,1.895,1.795,1.719,0.559,7,
21,4,above_th,1,0,0,0,0.944,0.056,3.186,kiwi,briefcase,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
21,3,at_th,2,1,0,0,0.971,0.265,2.518,shoe,bucket,2.195,1.000,2.078,1.461,2.001,2.250,1.498,6,
21,2,below_th,3,0,1,0,0.635,0.689,-0.148,pear,chicken,0.140,-0.386,1.923,2.462,1.930,2.267,-0.195,1,
21,1,well_below_th,4,0,0,1,0.581,0.554,0.069,fish,cap,0.638,-0.234,2.060,1.917,2.025,1.973,0.128,0,
22,4,above_th,1,0,0,0,0.944,0.167,2.561,shoe,fish,NaN,NaN,NaN,NaN,NaN,NaN,3.245,9,
22,3,at_th,2,1,0,0,0.971,0.206,2.710,pear,cap,1.969,0.140,2.043,1.608,2.217,2.195,1.777,7,
22,2,below_th,3,0,1,0,0.527,0.554,-0.068,briefcase,bucket,2.337,1.969,1.905,1.927,1.987,1.930,1.505,3,
22,1,well_below_th,4,0,0,1,0.365,0.689,-0.839,kiwi,chicken,1.088,1.654,2.174,-0.898,2.182,2.310,1.096,1,
23,4,above_th,1,0,0,0,0.833,0.056,2.561,fish,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.379,7,
23,3,at_th,2,1,0,0,0.971,0.088,3.241,chicken,shoe,3.140,2.381,2.397,2.258,2.280,2.001,3.058,8,
23,2,below_th,3,0,1,0,0.905,0.041,3.057,bucket,kiwi,1.389,1.817,1.658,2.316,1.556,1.933,1.930,7,
23,1,well_below_th,4,0,0,1,0.284,0.527,-0.639,briefcase,cap,0.260,0.957,2.067,1.910,1.964,2.112,0.837,3,
24,4,above_th,1,0,0,0,0.944,0.167,2.561,kiwi,pear,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
24,3,at_th,2,1,0,0,0.853,0.088,2.401,briefcase,bucket,2.821,2.337,1.989,2.005,1.621,1.990,2.577,7,
24,2,below_th,3,0,1,0,0.959,0.311,2.238,chicken,shoe,2.195,0.579,-5.385,2.140,2.191,2.014,1.709,5,
24,1,well_below_th,4,0,0,1,0.473,0.176,0.864,cap,fish,1.107,0.260,1.810,2.300,1.720,2.211,0.597,5,
25,4,above_th,1,0,0,0,0.944,0.056,3.186,pear,cap,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
25,3,at_th,2,1,0,0,0.971,0.088,3.241,shoe,bucket,2.074,2.759,1.909,1.659,1.520,2.113,1.730,10,
25,2,below_th,3,0,1,0,0.716,0.149,1.614,fish,briefcase,1.088,1.389,2.012,1.341,1.955,1.639,1.423,5,
25,1,well_below_th,4,0,0,1,0.068,0.176,-0.562,kiwi,chicken,-0.312,0.033,2.026,2.123,1.875,2.099,0.245,0,
26,4,above_th,1,0,0,0,0.944,0.056,3.186,briefcase,fish,NaN,NaN,NaN,NaN,NaN,NaN,3.337,10,
26,3,at_th,2,1,0,0,0.971,0.206,2.710,cap,chicken,3.140,1.547,1.778,2.060,1.624,1.931,2.698,4,
26,2,below_th,3,0,1,0,0.797,0.878,-0.335,kiwi,bucket,1.405,1.264,1.959,1.384,1.487,1.474,0.816,0,
26,1,well_below_th,4,0,0,1,0.689,0.851,-0.549,pear,shoe,0.402,0.957,1.597,1.836,1.636,1.989,0.755,0,
27,4,above_th,1,0,0,0,0.722,0.056,2.183,chicken,cap,NaN,NaN,NaN,NaN,NaN,NaN,3.518,9,
27,3,at_th,2,1,0,0,0.971,0.088,3.241,shoe,pear,2.759,3.844,2.305,2.200,2.152,1.938,3.198,5,
27,2,below_th,3,0,1,0,0.932,0.122,2.661,bucket,briefcase,2.963,2.514,2.071,2.342,1.334,2.037,2.157,3,
27,1,well_below_th,4,0,0,1,0.716,0.203,1.404,fish,kiwi,0.957,1.088,2.178,-3.314,2.005,1.941,1.385,2,
28,4,above_th,1,0,0,0,0.722,0.167,1.557,cap,chicken,NaN,NaN,NaN,NaN,NaN,NaN,3.663,8,
28,3,at_th,2,1,0,0,0.971,0.029,3.779,kiwi,fish,1.959,2.514,2.338,2.307,2.228,2.032,2.564,5,
28,2,below_th,3,0,1,0,0.014,0.122,-1.044,briefcase,shoe,1.494,-0.223,2.191,2.173,1.962,2.399,1.116,1,
28,1,well_below_th,4,0,0,1,0.041,0.041,0.000,pear,bucket,0.638,1.228,2.112,1.596,2.124,2.159,0.825,0,
29,4,above_th,1,0,0,0,0.944,0.056,3.186,shoe,bucket,NaN,NaN,NaN,NaN,NaN,NaN,3.844,10,
29,3,at_th,2,1,0,0,0.500,0.441,0.148,cap,pear,2.337,3.218,0.986,1.726,0.710,2.075,2.516,7,
29,2,below_th,3,0,1,0,0.608,0.311,0.768,chicken,briefcase,-0.486,1.186,2.050,1.757,2.449,1.779,0.905,3,
29,1,well_below_th,4,0,0,1,0.743,0.230,1.393,kiwi,fish,1.264,0.957,1.926,2.075,1.630,1.940,0.986,4,
