Pgo,subject,visibility,reward
0.99,1,1,1
0.01,1,1,2
0.9375,1,2,1
0.125,1,2,2
0.47222,1,3,1
0.61111,1,3,2
0.5,1,4,1
0.52778,1,4,2
0.99,2,1,1
0.01,2,1,2
0.875,2,2,1
0.625,2,2,2
0.61111,2,3,1
0.47222,2,3,2
0.19444,2,4,1
0.38889,2,4,2
0.99,3,1,1
0.25,3,1,2
0.9375,3,2,1
0.5625,3,2,2
0.27778,3,3,1
0.36111,3,3,2
0.30556,3,4,1
0.30556,3,4,2
0.99,4,1,1
0.01,4,1,2
0.75,4,2,1
0.75,4,2,2
0.58333,4,3,1
0.66667,4,3,2
0.77778,4,4,1
0.75,4,4,2
0.875,5,1,1
0.01,5,1,2
0.99,5,2,1
0.01,5,2,2
0.97222,5,3,1
0.027778,5,3,2
0.22222,5,4,1
0.16667,5,4,2
0.99,6,1,1
0.01,6,1,2
0.8125,6,2,1
0.25,6,2,2
0.75,6,3,1
0.66667,6,3,2
0.66667,6,4,1
0.63889,6,4,2
0.875,7,1,1
0.01,7,1,2
0.875,7,2,1
0.5625,7,2,2
0.77778,7,3,1
0.083333,7,3,2
0.80556,7,4,1
0.5,7,4,2
0.99,8,1,1
0.125,8,1,2
0.6875,8,2,1
0.6875,8,2,2
0.55556,8,3,1
0.61111,8,3,2
0.83333,8,4,1
0.16667,8,4,2
0.99,9,1,1
0.01,9,1,2
0.9375,9,2,1
0.01,9,2,2
0.69444,9,3,1
0.22222,9,3,2
0.36111,9,4,1
0.5,9,4,2
0.99,10,1,1
0.125,10,1,2
0.75,10,2,1
0.25,10,2,2
0.83333,10,3,1
0.19444,10,3,2
0.25,10,4,1
0.38889,10,4,2
0.99,11,1,1
0.125,11,1,2
0.99,11,2,1
0.25,11,2,2
0.41667,11,3,1
0.61111,11,3,2
0.58333,11,4,1
0.61111,11,4,2
0.875,12,1,1
0.125,12,1,2
0.625,12,2,1
0.3125,12,2,2
0.52778,12,3,1
0.55556,12,3,2
0.41667,12,4,1
0.61111,12,4,2
0.875,13,1,1
0.375,13,1,2
0.875,13,2,1
0.125,13,2,2
0.94444,13,3,1
0.47222,13,3,2
0.61111,13,4,1
0.61111,13,4,2
0.99,14,1,1
0.01,14,1,2
0.3125,14,2,1
0.3125,14,2,2
0.77778,14,3,1
0.25,14,3,2
0.41667,14,4,1
0.33333,14,4,2
0.99,15,1,1
0.01,15,1,2
0.9375,15,2,1
0.6875,15,2,2
0.30556,15,3,1
0.36111,15,3,2
0.47222,15,4,1
0.5,15,4,2
0.99,16,1,1
0.125,16,1,2
0.99,16,2,1
0.125,16,2,2
0.66667,16,3,1
0.083333,16,3,2
0.30556,16,4,1
0.36111,16,4,2
0.99,17,1,1
0.01,17,1,2
0.99,17,2,1
0.1875,17,2,2
0.86111,17,3,1
0.63889,17,3,2
0.38889,17,4,1
0.22222,17,4,2
0.99,18,1,1
0.01,18,1,2
0.8125,18,2,1
0.1875,18,2,2
0.88889,18,3,1
0.027778,18,3,2
0.88889,18,4,1
0.11111,18,4,2
0.99,19,1,1
0.01,19,1,2
0.8125,19,2,1
0.3125,19,2,2
0.97222,19,3,1
0.16667,19,3,2
0.41667,19,4,1
0.55556,19,4,2
0.99,20,1,1
0.01,20,1,2
0.99,20,2,1
0.0625,20,2,2
0.5,20,3,1
0.13889,20,3,2
0.99,20,4,1
0.19444,20,4,2
0.99,21,1,1
0.01,21,1,2
0.99,21,2,1
0.25,21,2,2
0.63889,21,3,1
0.69444,21,3,2
0.58333,21,4,1
0.55556,21,4,2
0.99,22,1,1
0.125,22,1,2
0.99,22,2,1
0.1875,22,2,2
0.52778,22,3,1
0.55556,22,3,2
0.36111,22,4,1
0.69444,22,4,2
0.875,23,1,1
0.01,23,1,2
0.99,23,2,1
0.0625,23,2,2
0.91667,23,3,1
0.027778,23,3,2
0.27778,23,4,1
0.52778,23,4,2
0.99,24,1,1
0.125,24,1,2
0.875,24,2,1
0.0625,24,2,2
0.97222,24,3,1
0.30556,24,3,2
0.47222,24,4,1
0.16667,24,4,2
0.99,25,1,1
0.01,25,1,2
0.99,25,2,1
0.0625,25,2,2
0.72222,25,3,1
0.13889,25,3,2
0.055556,25,4,1
0.16667,25,4,2
0.99,26,1,1
0.01,26,1,2
0.99,26,2,1
0.1875,26,2,2
0.80556,26,3,1
0.88889,26,3,2
0.69444,26,4,1
0.86111,26,4,2
0.75,27,1,1
0.01,27,1,2
0.99,27,2,1
0.0625,27,2,2
0.94444,27,3,1
0.11111,27,3,2
0.72222,27,4,1
0.19444,27,4,2
0.75,28,1,1
0.125,28,1,2
0.99,28,2,1
0.01,28,2,2
0.01,28,3,1
0.11111,28,3,2
0.027778,28,4,1
0.027778,28,4,2
0.99,29,1,1
0.01,29,1,2
0.5,29,2,1
0.4375,29,2,2
0.61111,29,3,1
0.30556,29,3,2
0.75,29,4,1
0.22222,29,4,2
