Pgo,subject,visibility,reward
0.94444,1,1,1
0.055556,1,1,2
0.91176,1,2,1
0.14706,1,2,2
0.47297,1,3,1
0.60811,1,3,2
0.5,1,4,1
0.52703,1,4,2
0.94444,2,1,1
0.055556,2,1,2
0.85294,2,2,1
0.61765,2,2,2
0.60811,2,3,1
0.47297,2,3,2
0.2027,2,4,1
0.39189,2,4,2
0.94444,3,1,1
0.27778,3,1,2
0.91176,3,2,1
0.55882,3,2,2
0.28378,3,3,1
0.36486,3,3,2
0.31081,3,4,1
0.31081,3,4,2
0.94444,4,1,1
0.055556,4,1,2
0.73529,4,2,1
0.73529,4,2,2
0.58108,4,3,1
0.66216,4,3,2
0.77027,4,4,1
0.74324,4,4,2
0.83333,5,1,1
0.055556,5,1,2
0.97059,5,2,1
0.029412,5,2,2
0.95946,5,3,1
0.040541,5,3,2
0.22973,5,4,1
0.17568,5,4,2
0.94444,6,1,1
0.055556,6,1,2
0.79412,6,2,1
0.26471,6,2,2
0.74324,6,3,1
0.66216,6,3,2
0.66216,6,4,1
0.63514,6,4,2
0.83333,7,1,1
0.055556,7,1,2
0.85294,7,2,1
0.55882,7,2,2
0.77027,7,3,1
0.094595,7,3,2
0.7973,7,4,1
0.5,7,4,2
0.94444,8,1,1
0.16667,8,1,2
0.67647,8,2,1
0.67647,8,2,2
0.55405,8,3,1
0.60811,8,3,2
0.82432,8,4,1
0.17568,8,4,2
0.94444,9,1,1
0.055556,9,1,2
0.91176,9,2,1
0.029412,9,2,2
0.68919,9,3,1
0.22973,9,3,2
0.36486,9,4,1
0.5,9,4,2
0.94444,10,1,1
0.16667,10,1,2
0.73529,10,2,1
0.26471,10,2,2
0.82432,10,3,1
0.2027,10,3,2
0.25676,10,4,1
0.39189,10,4,2
0.94444,11,1,1
0.16667,11,1,2
0.97059,11,2,1
0.26471,11,2,2
0.41892,11,3,1
0.60811,11,3,2
0.58108,11,4,1
0.60811,11,4,2
0.83333,12,1,1
0.16667,12,1,2
0.61765,12,2,1
0.32353,12,2,2
0.52703,12,3,1
0.55405,12,3,2
0.41892,12,4,1
0.60811,12,4,2
0.83333,13,1,1
0.38889,13,1,2
0.85294,13,2,1
0.14706,13,2,2
0.93243,13,3,1
0.47297,13,3,2
0.60811,13,4,1
0.60811,13,4,2
0.94444,14,1,1
0.055556,14,1,2
0.32353,14,2,1
0.32353,14,2,2
0.77027,14,3,1
0.25676,14,3,2
0.41892,14,4,1
0.33784,14,4,2
0.94444,15,1,1
0.055556,15,1,2
0.91176,15,2,1
0.67647,15,2,2
0.31081,15,3,1
0.36486,15,3,2
0.47297,15,4,1
0.5,15,4,2
0.94444,16,1,1
0.16667,16,1,2
0.97059,16,2,1
0.14706,16,2,2
0.66216,16,3,1
0.094595,16,3,2
0.31081,16,4,1
0.36486,16,4,2
0.94444,17,1,1
0.055556,17,1,2
0.97059,17,2,1
0.20588,17,2,2
0.85135,17,3,1
0.63514,17,3,2
0.39189,17,4,1
0.22973,17,4,2
0.94444,18,1,1
0.055556,18,1,2
0.79412,18,2,1
0.20588,18,2,2
0.87838,18,3,1
0.040541,18,3,2
0.87838,18,4,1
0.12162,18,4,2
0.94444,19,1,1
0.055556,19,1,2
0.79412,19,2,1
0.32353,19,2,2
0.95946,19,3,1
0.17568,19,3,2
0.41892,19,4,1
0.55405,19,4,2
0.94444,20,1,1
0.055556,20,1,2
0.97059,20,2,1
0.088235,20,2,2
0.5,20,3,1
0.14865,20,3,2
0.98649,20,4,1
0.2027,20,4,2
0.94444,21,1,1
0.055556,21,1,2
0.97059,21,2,1
0.26471,21,2,2
0.63514,21,3,1
0.68919,21,3,2
0.58108,21,4,1
0.55405,21,4,2
0.94444,22,1,1
0.16667,22,1,2
0.97059,22,2,1
0.20588,22,2,2
0.52703,22,3,1
0.55405,22,3,2
0.36486,22,4,1
0.68919,22,4,2
0.83333,23,1,1
0.055556,23,1,2
0.97059,23,2,1
0.088235,23,2,2
0.90541,23,3,1
0.040541,23,3,2
0.28378,23,4,1
0.52703,23,4,2
0.94444,24,1,1
0.16667,24,1,2
0.85294,24,2,1
0.088235,24,2,2
0.95946,24,3,1
0.31081,24,3,2
0.47297,24,4,1
0.17568,24,4,2
0.94444,25,1,1
0.055556,25,1,2
0.97059,25,2,1
0.088235,25,2,2
0.71622,25,3,1
0.14865,25,3,2
0.067568,25,4,1
0.17568,25,4,2
0.94444,26,1,1
0.055556,26,1,2
0.97059,26,2,1
0.20588,26,2,2
0.7973,26,3,1
0.87838,26,3,2
0.68919,26,4,1
0.85135,26,4,2
0.72222,27,1,1
0.055556,27,1,2
0.97059,27,2,1
0.088235,27,2,2
0.93243,27,3,1
0.12162,27,3,2
0.71622,27,4,1
0.2027,27,4,2
0.72222,28,1,1
0.16667,28,1,2
0.97059,28,2,1
0.029412,28,2,2
0.013514,28,3,1
0.12162,28,3,2
0.040541,28,4,1
0.040541,28,4,2
0.94444,29,1,1
0.055556,29,1,2
0.5,29,2,1
0.44118,29,2,2
0.60811,29,3,1
0.31081,29,3,2
0.74324,29,4,1
0.22973,29,4,2
